*Sch DP	Act DP
07/05/2015 10:00 AM (Su)	10:00AM
07/05/2015 10:05 AM (Su)	10:05AM
07/05/2015 10:20 AM (Su)	10:20AM
07/05/2015 10:52 AM (Su)	10:52AM
07/05/2015 11:00 AM (Su)	11:00AM
07/05/2015 11:02 AM (Su)	11:02AM
07/05/2015 11:05 AM (Su)	11:05AM
07/05/2015 11:20 AM (Su)	11:49AM
07/05/2015 11:30 AM (Su)	11:30AM
07/05/2015 12:00 PM (Su)	12:00PM
07/05/2015 12:03 PM (Su)	12:07PM
07/05/2015 12:06 PM (Su)	12:06PM
07/05/2015 12:55 PM (Su)	12:55PM
07/05/2015 1:00 PM (Su)	1:06PM
07/05/2015 1:05 PM (Su)	1:05PM
07/05/2015 1:17 PM (Su)	1:18PM
07/05/2015 1:20 PM (Su)	2:40PM
07/05/2015 2:03 PM (Su)	2:17PM
07/05/2015 2:05 PM (Su)	2:05PM
07/05/2015 2:15 PM (Su)	2:15PM
07/05/2015 3:00 PM (Su)	3:00PM
07/05/2015 3:00 PM (Su)	3:01PM
07/05/2015 3:04 PM (Su)	3:04PM
07/05/2015 3:13 PM (Su)	3:13PM
07/05/2015 3:15 PM (Su)	3:41PM
07/05/2015 3:15 PM (Su)	3:20PM
07/05/2015 3:40 PM (Su)	3:59PM
07/05/2015 4:00 PM (Su)	4:00PM
07/05/2015 4:03 PM (Su)	4:03PM
07/05/2015 4:05 PM (Su)	4:21PM
07/05/2015 4:30 PM (Su)	4:30PM
07/05/2015 5:00 PM (Su)	5:00PM
07/05/2015 5:00 PM (Su)	5:00PM
07/05/2015 5:05 PM (Su)	5:05PM
07/05/2015 5:15 PM (Su)	5:15PM
07/05/2015 5:17 PM (Su)	5:17PM
07/05/2015 6:00 PM (Su)	6:00PM
07/05/2015 6:03 PM (Su)	6:05PM
07/05/2015 6:05 PM (Su)	6:09PM
07/05/2015 7:00 PM (Su)	7:01PM
07/05/2015 7:01 PM (Su)	7:02PM
07/05/2015 7:03 PM (Su)	7:09PM
07/05/2015 7:15 PM (Su)	7:15PM
07/05/2015 7:30 PM (Su)	7:30PM
07/05/2015 7:53 PM (Su)	7:53PM
07/05/2015 8:00 PM (Su)	8:00PM
07/05/2015 8:01 PM (Su)	8:01PM
07/05/2015 9:00 PM (Su)	9:10PM
07/05/2015 9:05 PM (Su)	9:05PM
07/05/2015 9:15 PM (Su)	9:15PM
07/05/2015 10:05 PM (Su)	10:05PM
07/05/2015 11:05 PM (Su)	11:05PM
07/05/2015 11:35 PM (Su)	11:35PM
07/05/2015 11:58 PM (Su)	11:58PM
07/06/2015 2:40 AM (Mo)	2:40AM
07/06/2015 3:00 AM (Mo)	3:00AM
07/06/2015 4:40 AM (Mo)	4:40AM
07/06/2015 5:30 AM (Mo)	5:30AM
07/06/2015 6:00 AM (Mo)	6:01AM
07/06/2015 6:05 AM (Mo)	6:05AM
07/06/2015 6:10 AM (Mo)	6:10AM
07/06/2015 6:20 AM (Mo)	6:20AM
07/06/2015 6:55 AM (Mo)	6:56AM
07/06/2015 7:00 AM (Mo)	7:06AM
07/06/2015 7:05 AM (Mo)	7:05AM
07/06/2015 7:15 AM (Mo)	7:19AM
07/06/2015 7:17 AM (Mo)	7:17AM
07/06/2015 7:25 AM (Mo)	7:25AM
07/06/2015 8:00 AM (Mo)	
07/06/2015 8:00 AM (Mo)	8:00AM
07/06/2015 8:10 AM (Mo)	8:10AM
07/06/2015 8:15 AM (Mo)	8:27AM
